image_a_is_original,entropy,method
0,0.3294929586917372,BIM_ENTROPY
0,0.2009597208084921,BIM_ENTROPY
-1,0.16092661155915486,NONE
0,0.20658605608438385,BIM
-1,0.12390241719891275,NONE
1,0.1170009284012483,BIM
0,0.2574020424827463,BIM_ENTROPY
-1,0.5801053679489043,NONE
1,0.374201630854241,BIM
0,0.4189438596883704,BIM_ENTROPY
1,0.4900280757485934,BIM
-1,0.8828089171262067,NONE
-1,0.483316741423474,NONE
1,0.4086867037281462,BIM_ENTROPY
1,0.5801053679489043,BIM_ENTROPY
0,0.24799498887037055,BIM
1,0.2961376270958938,BIM_ENTROPY
1,0.7761770002572678,BIM
0,0.09841053232066756,BIM
1,0.24507555843894366,BIM
1,0.8175859330432546,BIM
-1,0.14213487544882047,NONE
1,0.20658605608438385,BIM_ENTROPY
1,0.19735797138734465,BIM_ENTROPY
0,0.4086867037281462,BIM
-1,0.7632017538953703,NONE
-1,0.4418854375230702,NONE
0,0.09051352893144372,BIM
-1,0.13977472287782014,NONE
1,0.12330958266686055,BIM
1,0.5456202950749992,BIM
-1,0.2510933882171341,NONE
-1,0.7834364268856053,NONE
-1,0.12330958266686055,NONE
1,0.12390241719891275,BIM_ENTROPY
0,0.09051352893144372,BIM_ENTROPY
-1,0.2587107526761446,NONE
-1,0.8368362769991388,NONE
0,0.3867853827138399,BIM_ENTROPY
0,0.08667688280891712,BIM_ENTROPY
0,0.0685786512455118,BIM
1,0.3018758179438709,BIM
1,0.184337982796613,BIM_ENTROPY
1,0.5931141709824275,BIM
-1,0.2981510273934296,NONE
0,0.12825359895303184,BIM
-1,0.3756893099629758,NONE
1,0.7834364268856053,BIM_ENTROPY
0,0.2574020424827463,BIM
1,0.259538483909576,BIM
-1,0.20658605608438385,NONE
0,0.16092661155915486,BIM_ENTROPY
0,0.23736870952226485,BIM_ENTROPY
0,0.7632017538953703,BIM_ENTROPY
1,0.14213487544882047,BIM_ENTROPY
0,0.2510933882171341,BIM_ENTROPY
-1,0.1803894811020011,NONE
1,0.211127392311048,BIM
-1,0.7624523215623986,NONE
1,0.617476314582611,BIM_ENTROPY
-1,0.2764174897372513,NONE
1,0.5173320208946208,BIM_ENTROPY
-1,0.3867853827138399,NONE
-1,0.13375689309962974,NONE
-1,0.4086867037281462,NONE
1,0.07150926723414727,BIM_ENTROPY
0,0.2587107526761446,BIM_ENTROPY
-1,0.259538483909576,NONE
-1,0.24799498887037055,NONE
0,0.7834364268856053,BIM
1,0.9154707441751212,BIM
1,0.32777038288162325,BIM_ENTROPY
1,0.12825359895303184,BIM_ENTROPY
-1,0.8492186888289841,NONE
-1,0.26251384212704554,NONE
1,0.5067728548897663,BIM_ENTROPY
1,0.692889341282536,BIM
