entropy,id,method,t,truth,user_id,y
0.13977472287782014,106,BIM,3142,1,8,1
0.23736870952226485,107,NONE,2759,0,8,0
0.3661704007785148,108,NONE,4508,0,8,0
0.5350723146273532,109,NONE,3606,0,8,0
0.12330958266686055,110,BIM_ENTROPY,2182,1,8,1
0.2981510273934296,111,BIM,2894,1,8,1
0.3831612621782754,112,BIM,3359,1,8,1
0.6578673616626213,113,NONE,3358,0,8,0
0.211127392311048,114,NONE,2431,0,8,0
0.15494233845259,115,BIM,4347,1,8,1
0.35734499614098275,116,NONE,7230,0,8,0
0.5307323184304427,117,NONE,3059,0,8,1
0.7761770002572678,118,NONE,2057,0,8,0
0.6980794398272951,119,BIM_ENTROPY,2923,1,8,0
0.09841053232066756,120,NONE,2206,0,8,0
0.07150926723414727,121,NONE,3738,0,8,1
0.3962371785550497,122,NONE,2246,0,8,0
0.11083768637934698,123,BIM_ENTROPY,2844,1,8,1
0.3235534278140065,124,BIM,1848,1,8,1
0.1803894811020011,125,BIM_ENTROPY,3155,1,8,0
0.08667688280891712,126,NONE,4026,0,8,0
0.3189114215724657,127,BIM_ENTROPY,2499,1,8,0
0.32777038288162325,128,BIM,2985,1,8,1
0.6578673616626213,129,BIM_ENTROPY,3999,1,8,1
0.9154707441751212,130,NONE,4175,0,8,0
0.4900280757485934,131,NONE,1875,0,8,0
0.7624523215623986,132,BIM_ENTROPY,5142,1,8,0
0.17553494927349805,133,NONE,3313,0,8,0
0.3756893099629758,134,BIM_ENTROPY,1650,1,8,0
0.3235534278140065,135,BIM_ENTROPY,2939,1,8,0
0.3661704007785148,136,BIM,3477,1,8,1
0.3661704007785148,137,BIM_ENTROPY,2833,1,8,0
0.3189114215724657,138,NONE,4694,0,8,1
0.4189438596883704,139,BIM,2884,1,8,0
0.15080368228543306,140,BIM_ENTROPY,2594,1,8,1
0.12825359895303184,141,NONE,2487,0,8,0
0.720416997572734,142,BIM_ENTROPY,2979,1,8,0
0.3831612621782754,143,NONE,3947,0,8,0
0.5307323184304427,144,BIM,2351,1,8,0
0.14213487544882047,145,BIM,2712,1,8,1
0.48331674142347403,146,BIM_ENTROPY,3978,1,8,0
0.530340823928144,147,BIM_ENTROPY,2971,1,8,0
0.3294929586917372,148,BIM,2026,1,8,1
0.09841053232066756,149,BIM_ENTROPY,4076,1,8,1
0.32777038288162325,150,NONE,4089,0,8,0
0.5341550989362535,151,NONE,1768,0,8,0
0.7624523215623986,152,BIM,1959,1,8,0
0.1803894811020011,153,BIM,4212,1,8,0
0.11083768637934698,154,NONE,5359,0,8,0
0.35734499614098275,155,BIM,5224,1,8,1
0.5341550989362535,156,BIM,3826,1,8,0
0.6980794398272951,157,BIM,3609,1,8,0
0.5350723146273532,158,BIM,4096,1,8,1
0.5931141709824275,159,NONE,2185,0,8,0
0.26251384212704554,160,BIM,1871,1,8,1
0.3139897764007114,161,BIM,3056,1,8,1
0.3838100244963703,162,BIM_ENTROPY,2214,1,8,1
0.3294929586917372,163,BIM_ENTROPY,3288,1,8,0
0.2009597208084921,164,BIM_ENTROPY,4842,1,8,0
0.16092661155915486,165,NONE,2534,0,8,0
0.20658605608438385,166,BIM,2299,1,8,1
0.12390241719891275,167,NONE,3907,0,8,0
0.1170009284012483,168,BIM,2748,1,8,1
0.2574020424827463,169,BIM_ENTROPY,3781,1,8,1
0.5801053679489043,170,NONE,7834,0,8,0
0.374201630854241,171,BIM,2671,1,8,0
0.4189438596883704,172,BIM_ENTROPY,2977,1,8,0
0.4900280757485934,173,BIM,4107,1,8,0
0.8828089171262067,174,NONE,1992,0,8,0
0.48331674142347403,175,NONE,3743,0,8,0
0.4086867037281462,176,BIM_ENTROPY,3338,1,8,0
0.5801053679489043,177,BIM_ENTROPY,3354,1,8,0
0.2479949888703705,178,BIM,2608,1,8,1
0.2961376270958938,179,BIM_ENTROPY,5367,1,8,0
0.7761770002572678,180,BIM,6738,1,8,0
0.09841053232066756,181,BIM,2169,1,8,1
0.2450755584389437,182,BIM,2392,1,8,1
0.8175859330432546,183,BIM,3014,1,8,0
0.14213487544882047,184,NONE,14768,0,8,0
0.20658605608438385,185,BIM_ENTROPY,5787,1,8,1
0.19735797138734465,186,BIM_ENTROPY,3841,1,8,1
0.4086867037281462,187,BIM,2638,1,8,0
0.7632017538953703,188,NONE,3275,0,8,0
0.4418854375230702,189,NONE,3093,0,8,0
0.09051352893144372,190,BIM,2232,1,8,1
0.13977472287782014,191,NONE,2779,0,8,0
0.12330958266686055,192,BIM,4060,1,8,1
0.5456202950749992,193,BIM,2465,1,8,0
0.2510933882171341,194,NONE,3801,0,8,0
0.7834364268856053,195,NONE,4446,0,8,0
0.12330958266686055,196,NONE,6025,0,8,0
0.12390241719891275,197,BIM_ENTROPY,2625,1,8,1
0.09051352893144372,198,BIM_ENTROPY,2002,1,8,1
0.2587107526761446,199,NONE,5789,0,8,0
0.8368362769991388,200,NONE,2168,0,8,0
0.3867853827138399,201,BIM_ENTROPY,3497,1,8,1
0.08667688280891712,202,BIM_ENTROPY,2297,1,8,0
0.0685786512455118,203,BIM,1413,1,8,1
0.3018758179438709,204,BIM,4409,1,8,1
0.184337982796613,205,BIM_ENTROPY,2758,1,8,1
0.5931141709824275,206,BIM,4358,1,8,0
0.2981510273934296,207,NONE,2593,0,8,0
0.12825359895303184,208,BIM,3024,1,8,1
0.3756893099629758,209,NONE,2082,0,8,0
0.7834364268856053,210,BIM_ENTROPY,2751,1,8,0
0.2574020424827463,211,BIM,7818,1,8,0
0.259538483909576,212,BIM,4454,1,8,1
0.20658605608438385,213,NONE,3416,0,8,1
0.16092661155915486,214,BIM_ENTROPY,5731,1,8,0
0.23736870952226485,215,BIM_ENTROPY,2610,1,8,1
0.7632017538953703,216,BIM_ENTROPY,3110,1,8,0
0.14213487544882047,217,BIM_ENTROPY,4498,1,8,0
0.2510933882171341,218,BIM_ENTROPY,4542,1,8,0
0.1803894811020011,219,NONE,2181,0,8,0
0.211127392311048,220,BIM,3634,1,8,1
0.7624523215623986,221,NONE,2517,0,8,0
0.617476314582611,222,BIM_ENTROPY,2454,1,8,0
0.2764174897372513,223,NONE,1956,0,8,0
0.5173320208946208,224,BIM_ENTROPY,4898,1,8,0
0.3867853827138399,225,NONE,3019,0,8,0
0.13375689309962974,226,NONE,9002,0,8,0
0.4086867037281462,227,NONE,2202,0,8,0
0.07150926723414727,228,BIM_ENTROPY,4551,1,8,0
0.2587107526761446,229,BIM_ENTROPY,7729,1,8,0
0.259538483909576,230,NONE,3289,0,8,0
0.2479949888703705,231,NONE,2497,0,8,0
0.7834364268856053,232,BIM,2537,1,8,0
0.9154707441751212,233,BIM,2076,1,8,0
0.32777038288162325,234,BIM_ENTROPY,2289,1,8,0
0.12825359895303184,235,BIM_ENTROPY,5193,1,8,1
0.8492186888289841,236,NONE,3497,0,8,0
0.26251384212704554,237,NONE,2520,0,8,0
0.5067728548897663,238,BIM_ENTROPY,1760,1,8,0
0.692889341282536,239,BIM,3063,1,8,0
0.13375689309962974,0,BIM,5972,1,9,0
0.3018758179438709,1,NONE,5837,0,9,0
0.13375689309962974,2,BIM_ENTROPY,6807,1,9,1
0.5801053679489043,3,BIM,5932,1,9,1
0.5067728548897663,4,BIM,5861,1,9,0
0.617476314582611,5,BIM,6111,1,9,0
0.211127392311048,6,BIM_ENTROPY,5767,1,9,1
0.11083768637934698,7,BIM,6020,1,9,1
0.0685786512455118,8,NONE,5684,0,9,0
0.8492186888289841,9,BIM_ENTROPY,6264,1,9,0
0.7632017538953703,10,BIM,6367,1,9,0
0.2009597208084921,11,NONE,6043,0,9,1
0.23736870952226485,12,BIM,1785,1,9,1
0.8492186888289841,13,BIM,5809,1,9,0
0.6980794398272951,14,NONE,6831,0,9,1
0.4418854375230702,15,BIM,3108,1,9,1
0.13977472287782014,16,BIM_ENTROPY,3474,1,9,1
0.4900280757485934,17,BIM_ENTROPY,5654,1,9,0
0.2764174897372513,18,BIM_ENTROPY,5948,1,9,0
0.17553494927349805,19,BIM_ENTROPY,6052,1,9,0
0.8175859330432546,20,BIM_ENTROPY,5481,1,9,1
0.09484233957114574,21,BIM_ENTROPY,2499,1,9,1
0.8828089171262067,22,BIM_ENTROPY,6140,1,9,0
0.8368362769991388,23,BIM_ENTROPY,6188,1,9,0
0.15080368228543306,24,NONE,5762,0,9,0
0.184337982796613,25,NONE,6494,0,9,0
0.8175859330432546,26,NONE,5976,0,9,1
0.3962371785550497,27,BIM_ENTROPY,6051,1,9,0
0.4189438596883704,28,NONE,6341,0,9,0
0.2479949888703705,29,BIM_ENTROPY,5823,1,9,0
0.1170009284012483,30,BIM_ENTROPY,2487,1,9,1
0.13092694712587108,31,BIM_ENTROPY,5806,1,9,0
0.2961376270958938,32,NONE,6075,0,9,0
0.3294929586917372,33,NONE,6515,0,9,1
0.12390241719891275,34,BIM,2249,1,9,1
0.07150926723414727,35,BIM,1326,1,9,1
0.2961376270958938,36,BIM,4141,1,9,1
0.2450755584389437,37,BIM_ENTROPY,2957,1,9,1
0.692889341282536,38,NONE,6218,0,9,0
0.3235534278140065,39,NONE,4382,0,9,0
0.3831612621782754,40,BIM_ENTROPY,6169,1,9,1
0.374201630854241,41,BIM_ENTROPY,6013,1,9,1
0.5341550989362535,42,BIM_ENTROPY,5786,1,9,0
0.5733269202805338,43,NONE,6080,0,9,0
0.13092694712587108,44,NONE,4979,0,9,1
0.19960626838625967,45,BIM,2463,1,9,1
0.2764174897372513,46,BIM,6306,1,9,1
0.3867853827138399,47,BIM,6065,1,9,1
0.15494233845259,48,BIM_ENTROPY,1461,1,9,1
0.19735797138734465,49,NONE,5721,0,9,0
0.8368362769991388,50,BIM,5837,1,9,0
0.3838100244963703,51,NONE,6149,0,9,0
0.3189114215724657,52,BIM,3725,1,9,1
0.5456202950749992,53,NONE,5895,0,9,0
0.720416997572734,54,BIM,6165,1,9,1
0.7761770002572678,55,BIM_ENTROPY,6551,1,9,0
0.26251384212704554,56,BIM_ENTROPY,2988,1,9,1
0.0685786512455118,57,BIM_ENTROPY,1644,1,9,1
0.5067728548897663,58,NONE,5741,0,9,0
0.2587107526761446,59,BIM,1754,1,9,1
0.09484233957114574,60,BIM,2084,1,9,1
0.5456202950749992,61,BIM_ENTROPY,6305,1,9,0
0.48331674142347403,62,BIM,2687,1,9,1
0.3962371785550497,63,BIM,6293,1,9,0
0.530340823928144,64,NONE,6255,0,9,0
0.530340823928144,65,BIM,7335,1,9,0
0.720416997572734,66,NONE,5645,0,9,0
0.4418854375230702,67,BIM_ENTROPY,6881,1,9,1
0.5931141709824275,68,BIM_ENTROPY,6198,1,9,0
0.8828089171262067,69,BIM,6012,1,9,0
0.5733269202805338,70,BIM,6121,1,9,0
0.3018758179438709,71,BIM_ENTROPY,6008,1,9,1
0.2574020424827463,72,NONE,6122,0,9,0
0.35734499614098275,73,BIM_ENTROPY,5837,1,9,0
0.15080368228543306,74,BIM,1449,1,9,1
0.17553494927349805,75,BIM,6442,1,9,0
0.5173320208946208,76,BIM,6026,1,9,1
0.08667688280891712,77,BIM,1919,1,9,1
